NAME,UID,COURSE
Sadie Johnson,u0000001,MATH0288 ENGN0327 CBEA0340 MGMT0358 CHEM0405 PHYS0276 MGMT0453 COMP0170 PHYS0398 COMP0105 PHYS0279 MATH0164
Harper Davis,u0000002,MATH0308 HIST0224 PHYS0090 MATH0212 LAWS0094 MATH0149 CHEM0388 HIST0360 MGMT0468 MGMT0236 COMP0483 BUSN0098 MGMT0014 BUSN0101 MGMT0007 MATH0068 CBEA0118 HIST0432
Melanie Davis,u0000003,CBEA0201 HIST0406 LAWS0333 BIOL0082 HIST0311 PHYS0495 HIST0153 PHYS0267 CHEM0469 CBEA0500 MGMT0484 MGMT0044 BUSN0043 PHYS0132 LAWS0386 BUSN0008 LAWS0226
Norah Smith,u0000004,BIOL0265 MGMT0024 CHEM0036 HIST0449 ENGN0455 LAWS0393 ENGN0309 CBEA0282 MATH0161 COMP0474 PHYS0213 ENGN0435 HIST0176 MGMT0403 ENGN0329
London Williams,u0000005,BIOL0109 MATH0032 CHEM0036 ENGN0455 COMP0086 LAWS0228 ENGN0346 MGMT0157 CHEM0375 MGMT0044 MATH0412 BIOL0219 MGMT0014 PHYS0337
Liliana Brown,u0000006,COMP0234 CBEA0017 ENGN0055 BIOL0175 CHEM0036 BUSN0324 HIST0263 ENGN0272 CHEM0319 HIST0301 BIOL0184 MATH0461 HIST0355 CBEA0297 CHEM0317 HIST0176
Caroline Rodriguez,u0000007,PHYS0090 LAWS0202 MGMT0215 ENGN0085 CHEM0207 MATH0422 LAWS0026 COMP0108 MATH0288 LAWS0226 MATH0079
Taylor Moore,u0000008,COMP0343 HIST0126 MGMT0403 LAWS0094 LAWS0333 ENGN0275 BUSN0058 ENGN0328 LAWS0264 BUSN0074
Summer Johnson,u0000009,BUSN0425 HIST0158 ENGN0055 MGMT0120 MATH0062 COMP0249 PHYS0495 CHEM0190 BUSN0447 COMP0067 LAWS0154
Allison Davis,u0000010,BIOL0401 COMP0460 BIOL0463 CHEM0388 HIST0449 LAWS0095 BUSN0193 PHYS0410 BUSN0008 BUSN0074 MGMT0232
Logan Smith,u0000011,MGMT0107 MGMT0420 MATH0225 PHYS0160 CBEA0424 CHEM0369 CHEM0046 CHEM0489 LAWS0427 BUSN0411 LAWS0144 BUSN0400 ENGN0387 MATH0161 BIOL0488 CHEM0349 LAWS0465 BUSN0043 LAWS0075
Josephine Moore,u0000012,CBEA0423 MGMT0183 HIST0078 LAWS0063 MGMT0332 CBEA0021 BIOL0168 ENGN0054 CBEA0307 BIOL0250 HIST0176
Sophia Miller,u0000013,CBEA0423 BIOL0315 PHYS0027 MATH0022 MATH0298 MATH0357 CBEA0287 COMP0392 BUSN0335 MATH0140 BIOL0250 BIOL0486 HIST0176 LAWS0226
Paisley Rodriguez,u0000014,MATH0032 BIOL0221 CBEA0162 CHEM0388 LAWS0465 BUSN0260 CHEM0489 BUSN0291 MGMT0157 MGMT0484 BUSN0099 MATH0140 CBEA0300 CHEM0130
Camila Johnson,u0000015,CBEA0162 BUSN0166 BIOL0265 HIST0189 BUSN0374 MATH0212 LAWS0094 CBEA0118 COMP0249 MATH0057 BUSN0058 HIST0216 CHEM0375 ENGN0387 ENGN0223 ENGN0138 CHEM0350 CHEM0349 COMP0390 ENGN0419 MATH0178 MATH0298
Alina Davis,u0000016,BIOL0034 LAWS0197 HIST0406 BUSN0400 COMP0478 BUSN0374 CBEA0040 LAWS0049 COMP0242
Bella Martinez,u0000017,PHYS0137 LAWS0097 LAWS0397 MGMT0215 HIST0449 MGMT0107 LAWS0117 HIST0177 CHEM0489 MGMT0014 CHEM0402 LAWS0154 BIOL0305
Ellie Garcia,u0000018,ENGN0327 MATH0461 CHEM0217 MATH0357 BUSN0058 COMP0108 BUSN0098 MGMT0044 HIST0224 CBEA0142
Haley Wilson,u0000019,CBEA0017 HIST0485 LAWS0094 CHEM0037 COMP0136 MGMT0120 BIOL0463 MGMT0209 LAWS0049 BIOL0073 MATH0150 CBEA0103 HIST0176 MATH0298
Madison Jones,u0000020,CBEA0111 HIST0334 HIST0041 HIST0449 BUSN0407 MATH0051 MGMT0270 ENGN0192 BUSN0165 MGMT0159 PHYS0276 HIST0301 LAWS0026 MATH0023 CBEA0040 COMP0105 PHYS0137 ENGN0436 MATH0473 BIOL0168 LAWS0393 PHYS0446 MGMT0125 BUSN0273
Quinn Johnson,u0000021,CBEA0423 BIOL0016 PHYS0090 PHYS0292 HIST0432 BUSN0260 LAWS0228 BUSN0166 PHYS0251 ENGN0309 CBEA0131 LAWS0045
